em,_company_name,link,ticker,market_id,market_name
19651,НоваБев ао,https://www.finam.ru/quote/moex/belu/,BELU,1,МосБиржа акции
20708,ДВМП ао,https://www.finam.ru/quote/moex/fesh/,FESH,1,МосБиржа акции
2907747,iПозитив,https://www.finam.ru/quote/moex/posi/,MOEX.POSI:TQBR,1,МосБиржа акции
18441,ТМК ао,https://www.finam.ru/quote/moex/trmk/,TRMK,1,МосБиржа акции
465236,РуссНфт ао,https://www.finam.ru/quote/moex/rnft/,RNFT,1,МосБиржа акции
2477992,Сегежа,https://www.finam.ru/quote/moex/sgzh/,MOEX.SGZH:TQBR,1,МосБиржа акции
81758,Башнефт ап,https://www.finam.ru/quote/moex/banep/,BANEP,1,МосБиржа акции
17713,Распадская,https://www.finam.ru/quote/moex/rasp/,RASP,1,МосБиржа акции
420694,МКБ ао,https://www.finam.ru/quote/moex/cbom/,CBOM,1,МосБиржа акции
20509,Россети,https://www.finam.ru/quote/moex/fees/,FEES,1,МосБиржа акции
81360,Селигдар,https://www.finam.ru/quote/moex/selg/,SELG,1,МосБиржа акции
826,Татнфт 3ап,https://www.finam.ru/quote/moex/tatnp/,TATNP,1,МосБиржа акции
2896447,ОВК ао,https://www.finam.ru/quote/moex/uwgn/,MOEX.UWGN:TQPI,1,МосБиржа акции
181316,Русолово,https://www.finam.ru/quote/moex/rolo/,ROLO,1,МосБиржа акции
18654,ПИК ао,https://www.finam.ru/quote/moex/pikk/,PIKK,1,МосБиржа акции
18584,Юнипро ао,https://www.finam.ru/quote/moex/upro/,UPRO,1,МосБиржа акции
399716,AGRO-гдр,https://www.finam.ru/quote/moex/agro/,AGRO,1,МосБиржа акции
6,+МосЭнерго,https://www.finam.ru/quote/moex/msng/,MSNG,1,МосБиржа акции
2134426,GLTR-гдр,https://www.finam.ru/quote/moex/gltr/,MOEX.GLTR:TQBR,1,МосБиржа акции
16080,СОЛЛЕРС,https://www.finam.ru/quote/moex/svav/,SVAV,1,МосБиржа акции
15544,КАМАЗ,https://www.finam.ru/quote/moex/kmaz/,KMAZ,1,МосБиржа акции
18382,ТГК-1,https://www.finam.ru/quote/moex/tgka/,TGKA,1,МосБиржа акции
80745,Мечел ап,https://www.finam.ru/quote/moex/mtlrp/,MTLRP,1,МосБиржа акции
22843,iАвиастКао,https://www.finam.ru/quote/moex/unac/,UNAC,1,МосБиржа акции
15547,Яковлев-3,https://www.finam.ru/quote/moex/irkt/,IRKT,1,МосБиржа акции
18684,ОГК-2 ао,https://www.finam.ru/quote/moex/ogkb/,OGKB,1,МосБиржа акции
3728099,LQDT ETF (БПИФ Ликвидность УК ВИМ),https://www.finam.ru/quote/moex/lqdt/,MISX.LQDT,14,МосБиржа фьючерсы
488918,ГТМ ао,https://www.finam.ru/quote/moex/gtrk/,GTRK,1,МосБиржа акции
929597,ЭН+ГРУП ао,https://www.finam.ru/quote/moex/enpg/,ENPG,1,МосБиржа акции
35238,ИНАРКТИКА,https://www.finam.ru/quote/moex/aqua/,AQUA,1,МосБиржа акции
20702,АшинскийМЗ,https://www.finam.ru/quote/moex/amez/,AMEZ,1,МосБиржа акции
